password,label
12345617,0
qwerty67,0
password24,0
admin55,0
12345687,0
12345641,0
admin84,0
password11,0
admin29,0
welcome74,0
welcome37,0
welcome44,0
qwerty17,0
qwerty85,0
qwerty99,0
qwerty72,0
password97,0
password28,0
qwerty55,0
12345689,0
12345677,0
welcome99,0
qwerty41,0
qwerty56,0
qwerty41,0
12345663,0
qwerty9,0
qwerty35,0
12345659,0
password2,0
qwerty14,0
qwerty5,0
welcome57,0
welcome96,0
password21,0
welcome40,0
12345684,0
qwerty49,0
qwerty59,0
qwerty47,0
12345662,0
admin49,0
12345659,0
1234560,0
qwerty20,0
qwerty88,0
qwerty78,0
password7,0
admin51,0
welcome77,0
password50,0
password20,0
qwerty71,0
password3,0
12345657,0
welcome93,0
12345655,0
admin0,0
admin88,0
qwerty29,0
12345653,0
password57,0
password1,0
12345661,0
password98,0
welcome49,0
admin88,0
12345615,0
password60,0
welcome8,0
12345656,0
qwerty28,0
qwerty23,0
password95,0
admin70,0
welcome23,0
12345686,0
admin55,0
12345671,0
admin34,0
welcome68,0
welcome15,0
welcome73,0
qwerty37,0
qwerty15,0
admin38,0
admin82,0
password9,0
12345671,0
welcome96,0
12345684,0
welcome38,0
welcome54,0
password4,0
admin61,0
password42,0
qwerty63,0
12345636,0
password0,0
welcome80,0
password91,0
admin39,0
12345677,0
qwerty4,0
welcome41,0
12345659,0
admin16,0
password60,0
qwerty21,0
password10,0
12345626,0
admin94,0
welcome0,0
welcome96,0
welcome28,0
admin27,0
12345667,0
password52,0
admin49,0
qwerty89,0
qwerty63,0
password53,0
qwerty14,0
12345672,0
qwerty93,0
password80,0
12345632,0
qwerty52,0
qwerty65,0
password95,0
password64,0
12345665,0
welcome59,0
qwerty11,0
qwerty38,0
admin55,0
welcome9,0
password25,0
password2,0
12345637,0
12345629,0
password80,0
admin14,0
qwerty20,0
password70,0
password70,0
welcome33,0
password91,0
welcome64,0
qwerty40,0
password31,0
welcome63,0
admin71,0
admin92,0
qwerty72,0
12345678,0
welcome91,0
12345672,0
12345680,0
12345692,0
admin89,0
welcome17,0
welcome90,0
12345697,0
welcome36,0
qwerty58,0
password61,0
admin93,0
welcome67,0
1234563,0
password35,0
qwerty36,0
password3,0
password83,0
12345662,0
admin54,0
qwerty79,0
welcome67,0
admin43,0
12345637,0
12345641,0
welcome1,0
password89,0
admin20,0
welcome68,0
qwerty96,0
welcome2,0
admin25,0
admin90,0
welcome92,0
12345621,0
12345628,0
1234568,0
qwerty14,0
qwerty44,0
welcome58,0
qwerty78,0
admin51,0
password21,0
password39,0
piJ10REH@,1
dgkHRIt9@,1
JaOpnLxn@,1
46zt1Bs6@,1
lfYyk3ot@,1
SP7poBZv@,1
g5xL9qeu@,1
chq1sost@,1
Vyeq6nNp@,1
UiHvW9af@,1
JjAQbNQR@,1
sJvKQzFg@,1
Mk0ksjWl@,1
0TZMOYNI@,1
rQM7INNe@,1
CBFC7DDA@,1
El1sVEiG@,1
5ggpWm5a@,1
SYf8DLOP@,1
n4kCwQK0@,1
RoeVfegO@,1
jtKhmGik@,1
09pwMtOG@,1
GWKzqGhL@,1
VeVkYNke@,1
TA6uF9q0@,1
2r6kwZKP@,1
vlZjlgyD@,1
8yQRu7tI@,1
8xlA0WUG@,1
xNBB3PVD@,1
mMFp4VE7@,1
aYzE69y5@,1
Nkitr8VB@,1
w40xnzz5@,1
Ob59FT1M@,1
ff175esF@,1
CD7NSPet@,1
WAQD9Ect@,1
yQh2lI4g@,1
bAuM3aff@,1
ToqI966W@,1
C7rIWRlL@,1
gMR7j5A7@,1
BHjIxTao@,1
h9WlXUhE@,1
MuMx2wL1@,1
2V0M7POC@,1
vsnfpprQ@,1
cZbvO0HI@,1
Gn4JDob7@,1
LQ1QZ8DV@,1
nmj0Wqk1@,1
qZ1LMQ3D@,1
Zge7NvrN@,1
LxeOaVJ6@,1
LTOZVwJw@,1
BzkevRoC@,1
PgKWC87H@,1
JsPC7msC@,1
cwEOp2gT@,1
tEBIlMAY@,1
Am0Gc1td@,1
YeSAoCcT@,1
nKy1lXg0@,1
2Qz8l0JR@,1
1bfuDDTq@,1
KmkBD96O@,1
ODIQGXwb@,1
x94HNbr0@,1
2RQfC3mx@,1
Y9ZcmWNq@,1
PKq7QHQC@,1
RXB8og1B@,1
xj5doV3w@,1
rvCqbZtI@,1
45GLVCJo@,1
aH801Mv3@,1
39LXY2PD@,1
XcmJ6OFs@,1
uVVCBaZd@,1
adDwucgO@,1
khlhrEvv@,1
tBBfBTON@,1
szZPGNCU@,1
9n2htcWw@,1
YLPQhrF3@,1
5QSslbSm@,1
liKLEYyw@,1
hIXxe8GR@,1
idmDWYi6@,1
NcwYNlcc@,1
d0mvVwLU@,1
mkC5in2n@,1
RHSwaLle@,1
ri0nvhRy@,1
CziTv3GH@,1
AggAuzIs@,1
t6L5UKQi@,1
bug0pOZt@,1
YgGHKmEu@,1
h5DBVbco@,1
dHw96U3W@,1
JTQZyi8U@,1
YNKREjwY@,1
NGBettB3@,1
DY5D5dXP@,1
qOjsWcgE@,1
c971e5NV@,1
Atg3fJdL@,1
m4fCt5IS@,1
cmobt1yG@,1
Dbllnz2t@,1
w0JBrkN0@,1
qozHRSAa@,1
DRpHb1Ju@,1
ochUPXlZ@,1
AAwIloYO@,1
XJEebQw7@,1
xGCHMG53@,1
3It050ZG@,1
5YRtVtWA@,1
QmN1BcVL@,1
NMHZNV6W@,1
lFnzjUq4@,1
pTMFw7Bm@,1
1SQmuyUK@,1
uSiw3wHW@,1
CRRAL4SB@,1
jOctsbRA@,1
rodfBLDY@,1
9tROq09A@,1
m3tCe2gv@,1
HysvoCn4@,1
Q79Gjj64@,1
icOac55B@,1
tEYG8C2b@,1
GJqkEqZO@,1
uahZXLkx@,1
tJJG5mqZ@,1
W0uPWVFU@,1
ckWS3BYi@,1
ATCQMMJi@,1
B8n10Qro@,1
OzodDdlx@,1
n7YZpe2a@,1
UPPEUQ39@,1
13OvdE8o@,1
VoDaKT9k@,1
4c9J22Dg@,1
vdpHFnUL@,1
ukPKiE8J@,1
WhLTXKRp@,1
84ras0yZ@,1
S2g0NfpN@,1
WaWD0rAE@,1
REz7Avnl@,1
ehEWrZj1@,1
PqwjdcY2@,1
QObRvitl@,1
BsuOqA8r@,1
bpf8kE26@,1
eaBba6Go@,1
nF0NSo7I@,1
QBVMorYA@,1
m64hL2yg@,1
A4DaKQVO@,1
cBkL4f4T@,1
RHEGC95s@,1
asyya9DX@,1
3osXZkCH@,1
8d3i1KFH@,1
lAzWdNoJ@,1
xh5E5RWp@,1
QKYQdDLJ@,1
3rYR3thk@,1
tJopopjy@,1
vUS2vLNZ@,1
Ll5Bco8i@,1
JzPXCjHM@,1
lMB0eCox@,1
iuGk4jO7@,1
zdHvRJfk@,1
e73mScMr@,1
